,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FIGNER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FIGNER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP
0,"[0.5039433240890503, 0.20010152459144592, -1.6052661067078589e-06]","[0.3479953408241272, 0.27838459610939026, -0.06496264040470123]","[0.24158498644828796, 0.47482651472091675, -0.09174744784832001]","[0.21548312902450562, 0.6348876953125, -0.12917378544807434]","[0.3557480275630951, 0.7218032479286194, -0.14628376066684723]","[0.38499143719673157, 0.6456817984580994, 0.0080821942538023]","[0.34662896394729614, 0.8206214904785156, -0.1280319094657898]","[0.28470152616500854, 0.7142087817192078, -0.20222991704940796]","[0.31595101952552795, 0.6304295063018799, -0.22361591458320618]","[0.5103234648704529, 0.6423861384391785, -0.022243496030569077]","[0.46629682183265686, 0.8291557431221008, -0.15759475529193878]","[0.3825569152832031, 0.6877065300941467, -0.1928776353597641]","[0.42360058426856995, 0.6070592999458313, -0.17359311878681183]","[0.6454883813858032, 0.6158735156059265, -0.07499359548091888]","[0.5913196802139282, 0.7944148182868958, -0.22227951884269714]","[0.48909610509872437, 0.6477667093276978, -0.1852167397737503]","[0.5150975584983826, 0.5665498971939087, -0.11412151902914047]","[0.7937836647033691, 0.5687813758850098, -0.13287004828453064]","[0.700164258480072, 0.6853653788566589, -0.231239914894104]","[0.6120923757553101, 0.5835275053977966, -0.1850551813840866]",
1,"[0.5039433240890503, 0.20010152459144592, -1.6052661067078589e-06]","[0.3479953408241272, 0.27838459610939026, -0.06496264040470123]","[0.24158498644828796, 0.47482651472091675, -0.09174744784832001]","[0.21548312902450562, 0.6348876953125, -0.12917378544807434]","[0.3557480275630951, 0.7218032479286194, -0.14628376066684723]","[0.38499143719673157, 0.6456817984580994, 0.0080821942538023]","[0.34662896394729614, 0.8206214904785156, -0.1280319094657898]","[0.28470152616500854, 0.7142087817192078, -0.20222991704940796]","[0.31595101952552795, 0.6304295063018799, -0.22361591458320618]","[0.5103234648704529, 0.6423861384391785, -0.022243496030569077]","[0.46629682183265686, 0.8291557431221008, -0.15759475529193878]","[0.3825569152832031, 0.6877065300941467, -0.1928776353597641]","[0.42360058426856995, 0.6070592999458313, -0.17359311878681183]","[0.6454883813858032, 0.6158735156059265, -0.07499359548091888]","[0.5913196802139282, 0.7944148182868958, -0.22227951884269714]","[0.48909610509872437, 0.6477667093276978, -0.1852167397737503]","[0.5150975584983826, 0.5665498971939087, -0.11412151902914047]","[0.7937836647033691, 0.5687813758850098, -0.13287004828453064]","[0.700164258480072, 0.6853653788566589, -0.231239914894104]","[0.6120923757553101, 0.5835275053977966, -0.1850551813840866]",
2,"[0.4901650547981262, 0.12654167413711548, 2.108293529090588e-06]","[0.6853971481323242, 0.1966972053050995, -0.1392347812652588]","[0.7846932411193848, 0.3475272059440613, -0.20334449410438538]","[0.8127522468566895, 0.47072693705558777, -0.25486522912979126]","[0.8652501106262207, 0.5769959688186646, -0.30240699648857117]","[0.5889002084732056, 0.5169832706451416, -0.12577837705612183]","[0.5936051607131958, 0.6915644407272339, -0.23684021830558777]","[0.606050431728363, 0.8031969666481018, -0.3236890137195587]","[0.6099532246589661, 0.8934428691864014, -0.3828420042991638]","[0.4570215940475464, 0.5188450217247009, -0.13400010764598846]","[0.4308024048805237, 0.7033122181892395, -0.23060156404972076]","[0.41294437646865845, 0.8262052536010742, -0.3124941885471344]","[0.39566969871520996, 0.9244764447212219, -0.36612555384635925]","[0.3379426598548889, 0.48767876625061035, -0.16090127825737]","[0.30343401432037354, 0.6570807099342346, -0.24681754410266876]","[0.278126060962677, 0.7647249698638916, -0.30622753500938416]","[0.2549131214618683, 0.8543779850006104, -0.34715473651885986]","[0.22581717371940613, 0.43008458614349365, -0.2029971480369568]","[0.16680166125297546, 0.5493267774581909, -0.27653768658638]","[0.13231196999549866, 0.6307986378669739, -0.3105572760105133]","[0.100705087184906, 0.7026354074478149, -0.3320237100124359]"
3,"[0.4901650547981262, 0.12654167413711548, 2.108293529090588e-06]","[0.6853971481323242, 0.1966972053050995, -0.1392347812652588]","[0.7846932411193848, 0.3475272059440613, -0.20334449410438538]","[0.8127522468566895, 0.47072693705558777, -0.25486522912979126]","[0.8652501106262207, 0.5769959688186646, -0.30240699648857117]","[0.5889002084732056, 0.5169832706451416, -0.12577837705612183]","[0.5936051607131958, 0.6915644407272339, -0.23684021830558777]","[0.606050431728363, 0.8031969666481018, -0.3236890137195587]","[0.6099532246589661, 0.8934428691864014, -0.3828420042991638]","[0.4570215940475464, 0.5188450217247009, -0.13400010764598846]","[0.4308024048805237, 0.7033122181892395, -0.23060156404972076]","[0.41294437646865845, 0.8262052536010742, -0.3124941885471344]","[0.39566969871520996, 0.9244764447212219, -0.36612555384635925]","[0.3379426598548889, 0.48767876625061035, -0.16090127825737]","[0.30343401432037354, 0.6570807099342346, -0.24681754410266876]","[0.278126060962677, 0.7647249698638916, -0.30622753500938416]","[0.2549131214618683, 0.8543779850006104, -0.34715473651885986]","[0.22581717371940613, 0.43008458614349365, -0.2029971480369568]","[0.16680166125297546, 0.5493267774581909, -0.27653768658638]","[0.13231196999549866, 0.6307986378669739, -0.3105572760105133]","[0.100705087184906, 0.7026354074478149, -0.3320237100124359]"
4,"[0.570301353931427, 0.08755594491958618, 3.6340948099677917e-06]","[0.5136646628379822, 0.15854904055595398, -0.061312656849622726]","[0.4585028290748596, 0.31395816802978516, -0.06851309537887573]","[0.44071340560913086, 0.43037617206573486, -0.09444402903318405]","[0.4630587100982666, 0.48761221766471863, -0.09820744395256042]","[0.4267246127128601, 0.41181251406669617, -0.01990651711821556]","[0.3173624277114868, 0.5989269018173218, -0.09356999397277832]","[0.25481048226356506, 0.6792148351669312, -0.11930834501981735]","[0.20524951815605164, 0.7562391757965088, -0.13843950629234314]","[0.5241278409957886, 0.43389639258384705, -0.06794155389070511]","[0.4642300009727478, 0.6420879364013672, -0.28746098279953003]","[0.459416925907135, 0.766548216342926, -0.41635385155677795]","[0.44018274545669556, 0.8822535276412964, -0.47154501080513]","[0.64369136095047, 0.42492491006851196, -0.11582069844007492]","[0.7099915146827698, 0.5813099145889282, -0.33287903666496277]","[0.6884074211120605, 0.442691445350647, -0.2740922272205353]","[0.6501992344856262, 0.353257417678833, -0.16192759573459625]","[0.7282271981239319, 0.3957180678844452, -0.17134110629558563]","[0.7772253751754761, 0.5101240277290344, -0.3059418201446533]","[0.7638502717018127, 0.42540574073791504, -0.24017560482025146]",
5,"[0.570301353931427, 0.08755594491958618, 3.6340948099677917e-06]","[0.5136646628379822, 0.15854904055595398, -0.061312656849622726]","[0.4585028290748596, 0.31395816802978516, -0.06851309537887573]","[0.44071340560913086, 0.43037617206573486, -0.09444402903318405]","[0.4630587100982666, 0.48761221766471863, -0.09820744395256042]","[0.4267246127128601, 0.41181251406669617, -0.01990651711821556]","[0.3173624277114868, 0.5989269018173218, -0.09356999397277832]","[0.25481048226356506, 0.6792148351669312, -0.11930834501981735]","[0.20524951815605164, 0.7562391757965088, -0.13843950629234314]","[0.5241278409957886, 0.43389639258384705, -0.06794155389070511]","[0.4642300009727478, 0.6420879364013672, -0.28746098279953003]","[0.459416925907135, 0.766548216342926, -0.41635385155677795]","[0.44018274545669556, 0.8822535276412964, -0.47154501080513]","[0.64369136095047, 0.42492491006851196, -0.11582069844007492]","[0.7099915146827698, 0.5813099145889282, -0.33287903666496277]","[0.6884074211120605, 0.442691445350647, -0.2740922272205353]","[0.6501992344856262, 0.353257417678833, -0.16192759573459625]","[0.7282271981239319, 0.3957180678844452, -0.17134110629558563]","[0.7772253751754761, 0.5101240277290344, -0.3059418201446533]","[0.7638502717018127, 0.42540574073791504, -0.24017560482025146]",
6,"[0.3669239282608032, 0.08636879920959473, 3.134791199954634e-07]","[0.2090434581041336, 0.17074233293533325, -0.011723419651389122]","[0.2151796966791153, 0.2978810667991638, -0.040596120059490204]","[0.27521201968193054, 0.4013417065143585, -0.07780499756336212]","[0.38150396943092346, 0.4641658067703247, -0.09160500764846802]","[0.32844534516334534, 0.41096627712249756, -0.09293756633996964]","[0.2780388295650482, 0.5287848711013794, -0.2114935964345932]","[0.2705564796924591, 0.4458000957965851, -0.24995113909244537]","[0.3017495572566986, 0.3627837896347046, -0.24991466104984283]","[0.40507999062538147, 0.4332347512245178, -0.1586633324623108]","[0.3998064696788788, 0.6335439682006836, -0.2938231825828552]","[0.3893570005893707, 0.7460871338844299, -0.36179113388061523]","[0.38805705308914185, 0.8497030735015869, -0.39709949493408203]","[0.49250125885009766, 0.4154091775417328, -0.2291225641965866]","[0.5410342216491699, 0.6009771823883057, -0.34724509716033936]","[0.5709899067878723, 0.7142018675804138, -0.40476495027542114]","[0.5993481874465942, 0.8144873976707458, -0.43252694606781006]","[0.5711122751235962, 0.36139652132987976, -0.2957310974597931]","[0.689509928226471, 0.4970657527446747, -0.37805843353271484]","[0.754535436630249, 0.583729088306427, -0.404874324798584]","[0.8228833079338074, 0.6644197702407837, -0.41990119218826294]"
7,"[0.3669239282608032, 0.08636879920959473, 3.134791199954634e-07]","[0.2090434581041336, 0.17074233293533325, -0.011723419651389122]","[0.2151796966791153, 0.2978810667991638, -0.040596120059490204]","[0.27521201968193054, 0.4013417065143585, -0.07780499756336212]","[0.38150396943092346, 0.4641658067703247, -0.09160500764846802]","[0.32844534516334534, 0.41096627712249756, -0.09293756633996964]","[0.2780388295650482, 0.5287848711013794, -0.2114935964345932]","[0.2705564796924591, 0.4458000957965851, -0.24995113909244537]","[0.3017495572566986, 0.3627837896347046, -0.24991466104984283]","[0.40507999062538147, 0.4332347512245178, -0.1586633324623108]","[0.3998064696788788, 0.6335439682006836, -0.2938231825828552]","[0.3893570005893707, 0.7460871338844299, -0.36179113388061523]","[0.38805705308914185, 0.8497030735015869, -0.39709949493408203]","[0.49250125885009766, 0.4154091775417328, -0.2291225641965866]","[0.5410342216491699, 0.6009771823883057, -0.34724509716033936]","[0.5709899067878723, 0.7142018675804138, -0.40476495027542114]","[0.5993481874465942, 0.8144873976707458, -0.43252694606781006]","[0.5711122751235962, 0.36139652132987976, -0.2957310974597931]","[0.689509928226471, 0.4970657527446747, -0.37805843353271484]","[0.754535436630249, 0.583729088306427, -0.404874324798584]","[0.8228833079338074, 0.6644197702407837, -0.41990119218826294]"
8,"[0.4246961772441864, 0.10174369812011719, 1.2480313671403565e-06]","[0.24681153893470764, 0.17375850677490234, -0.062233421951532364]","[0.21415787935256958, 0.31464457511901855, -0.09244567155838013]","[0.2488814741373062, 0.4301309287548065, -0.13266198337078094]","[0.34261801838874817, 0.4929322302341461, -0.16053995490074158]","[0.3085000514984131, 0.421895295381546, -0.08640898764133453]","[0.18440809845924377, 0.5954564809799194, -0.15190809965133667]","[0.10388293862342834, 0.6859441995620728, -0.1817353069782257]","[0.05380547046661377, 0.7631784677505493, -0.20350299775600433]","[0.4077281951904297, 0.4421250522136688, -0.11565257608890533]","[0.4630533456802368, 0.6162663698196411, -0.22336819767951965]","[0.48686331510543823, 0.7138659954071045, -0.2782210409641266]","[0.49856168031692505, 0.823296308517456, -0.312662810087204]","[0.5037975907325745, 0.43424469232559204, -0.1531740427017212]","[0.42748311161994934, 0.5593120455741882, -0.2638401687145233]","[0.328167587518692, 0.4556633532047272, -0.2386297881603241]","[0.29263558983802795, 0.3778539299964905, -0.19486619532108307]","[0.5993584394454956, 0.4110907316207886, -0.2020455002784729]","[0.7077851891517639, 0.5464007258415222, -0.29299893975257874]","[0.7589927911758423, 0.6401652693748474, -0.32193073630332947]",
9,"[0.4246961772441864, 0.10174369812011719, 1.2480313671403565e-06]","[0.24681153893470764, 0.17375850677490234, -0.062233421951532364]","[0.21415787935256958, 0.31464457511901855, -0.09244567155838013]","[0.2488814741373062, 0.4301309287548065, -0.13266198337078094]","[0.34261801838874817, 0.4929322302341461, -0.16053995490074158]","[0.3085000514984131, 0.421895295381546, -0.08640898764133453]","[0.18440809845924377, 0.5954564809799194, -0.15190809965133667]","[0.10388293862342834, 0.6859441995620728, -0.1817353069782257]","[0.05380547046661377, 0.7631784677505493, -0.20350299775600433]","[0.4077281951904297, 0.4421250522136688, -0.11565257608890533]","[0.4630533456802368, 0.6162663698196411, -0.22336819767951965]","[0.48686331510543823, 0.7138659954071045, -0.2782210409641266]","[0.49856168031692505, 0.823296308517456, -0.312662810087204]","[0.5037975907325745, 0.43424469232559204, -0.1531740427017212]","[0.42748311161994934, 0.5593120455741882, -0.2638401687145233]","[0.328167587518692, 0.4556633532047272, -0.2386297881603241]","[0.29263558983802795, 0.3778539299964905, -0.19486619532108307]","[0.5993584394454956, 0.4110907316207886, -0.2020455002784729]","[0.7077851891517639, 0.5464007258415222, -0.29299893975257874]","[0.7589927911758423, 0.6401652693748474, -0.32193073630332947]",
